NIVEL;MATERIAL;BITOLA;PE2;PE3;PF2;PFT3;PF3;PGH3;PGV3
Baixa tensao;Aluminio;240;380;330;430;375;392;482;447
Baixa tensao;Aluminio;185;322;280;363;315;330;407;376
Baixa tensao;Aluminio;150;282;245;316;274;287;356;327
Baixa tensao;Aluminio;120;244;212;273;237;247;308;282
Baixa tensao;Aluminio;95;210;183;235;203;212;265;241
Baixa tensao;Aluminio;70;173;150;192;166;173;217;196
Baixa tensao;Aluminio;50;135;117;149;128;133;169;152
Baixa tensao;Aluminio;35;111;96;122;105;109;139;124
Baixa tensao;Aluminio;25;89;78;98;84;87;112;99
Baixa tensao;Aluminio;16;73;61;73;62;65;84;73
Baixa tensao;Aluminio;16;0;0;0;0;0;0;0
Baixa tensao;Aluminio;16;0;0;0;0;0;0;0
Baixa tensao;Aluminio;16;0;0;0;0;0;0;0
Baixa tensao;Aluminio;16;0;0;0;0;0;0;0
Baixa tensao;Aluminio;16;0;0;0;0;0;0;0
Baixa tensao;Aluminio;16;0;0;0;0;0;0;0
